mother,child,individual_input_quantity_q_mc
64001,DK8,1
64002,D83,1
64003,DK8,1
64004,DK8,1
64005,DQ9,1
64006,D2I,1
64007,DM4,1
64008,DP2,1
64009,DE5,1
64010,DG6,1
64011,D64,1
64012,DK8,1
64013,DK8,1
64014,DK8,1
64015,D33,1
64016,DN4,1
64017,DG6,1
64018,D80,1
64019,D33,1
64020,D33,1
64021,DK8,1
64022,DN4,1
64023,DK8,1
64024,DG8,1
64025,DS9,1
64026,DK8,1
64027,DK8,1
64028,DN4,1
64029,DN4,1
64030,DF4,1
64031,D33,1
64032,DN4,1
64033,DG8,1
64034,DE5,1
64035,D64,1
64036,DQ9,1
64037,DN4,1
64038,DG6,1
64039,D64,1
64040,D33,1
64041,DN4,1
64042,D33,1
64043,D33,1
64044,DS9,1
64045,D33,1
64046,DS9,1
64047,DK8,1
64048,D33,1
64049,D33,1
64050,DG6,1
64051,DQ9,1
64052,DN4,1
64053,DM4,1
64054,DN4,1
64055,DG6,1
64056,DK8,1
64057,D80,1
64058,DS9,1
64059,DG8,1
64060,DK8,1
64061,DG6,1
64062,DN4,1
64063,DG6,1
64064,DG6,1
64065,DE5,1
64066,D33,1
64067,DK8,1
64068,D33,1
64069,DG8,1
64070,DK8,1
64071,DG6,1
64072,DN4,1
64073,DG8,1
64074,DK8,1
64075,DN4,1
64076,DG6,1
64077,DK7,1
64078,D33,1
64079,DG6,1
64080,DN4,1
64081,DK8,1
64082,DG6,1
64083,D33,1
64084,DN4,1
64085,DK8,1
64086,DG6,1
64087,DQ9,1
64088,DK8,1
64089,DQ4,1
64090,DN4,1
64091,D33,1
64092,D02,1
64093,DS9,1
64094,DG6,1
64095,DG8,1
64096,DK8,1
64097,DG6,1
64098,DK8,1
64099,D83,1
64100,DN4,1
64101,DK8,1
64102,D80,1
64103,DG6,1
64104,DG8,1
64105,DQ4,1
64106,DN4,1
64107,DQ9,1
64108,DS9,1
64109,DG8,1
64110,DS9,1
64111,D64,1
64112,DG6,1
64113,DP2,1
64114,DE5,1
64115,DK8,1
64116,DS9,1
64117,DN4,1
64118,DP2,1
64119,DG6,1
64120,DN4,1
64121,DS9,1
64122,DS9,1
64123,DQ9,1
64124,DQ9,1
64125,DQ9,1
64126,DQ9,1
64127,D64,1
64128,DK8,1
64129,DK8,1
64130,DG6,1
64131,D33,1
64132,DM4,1
64133,DG6,1
64134,DN4,1
64135,D80,1
64136,DR8,1
64137,D64,1
64138,D02,1
64139,DG6,1
64140,DK9,1
64141,DG6,1
