starting_node_i,ending_node_j,period_t,capacity_c_ijt
gear-inv,zp7,61,2100
gear-inv,zp7,62,2100
gear-inv,zp7,63,2100
gear-inv,zp7,64,2100
gear-inv,zp7,65,2100
gear-inv,zp7,66,2100
gear-inv,zp7,67,2100
gear-inv,zp7,68,2100
gear-inv,zp7,69,2100
gear-inv,zp7,70,2100
gear-inv,zp7,71,2100
gear-inv,zp7,72,2100
gear-inv,zp7,73,2100
gear-inv,zp7,74,2100
engine-inv,zp7,61,2100
engine-inv,zp7,62,2100
engine-inv,zp7,63,2100
engine-inv,zp7,64,2100
engine-inv,zp7,65,2100
engine-inv,zp7,66,2100
engine-inv,zp7,67,2100
engine-inv,zp7,68,2100
engine-inv,zp7,69,2100
engine-inv,zp7,70,2100
engine-inv,zp7,71,2100
engine-inv,zp7,72,2100
engine-inv,zp7,73,2100
engine-inv,zp7,74,2100
battery-inv,zp7,61,294
battery-inv,zp7,62,294
battery-inv,zp7,63,294
battery-inv,zp7,64,294
battery-inv,zp7,65,294
battery-inv,zp7,66,294
battery-inv,zp7,67,294
battery-inv,zp7,68,294
battery-inv,zp7,69,294
battery-inv,zp7,70,294
battery-inv,zp7,71,294
battery-inv,zp7,72,294
battery-inv,zp7,73,294
battery-inv,zp7,74,294
seat-inv,zp7,61,2100
seat-inv,zp7,62,2100
seat-inv,zp7,63,2100
seat-inv,zp7,64,2100
seat-inv,zp7,65,2100
seat-inv,zp7,66,2100
seat-inv,zp7,67,2100
seat-inv,zp7,68,2100
seat-inv,zp7,69,2100
seat-inv,zp7,70,2100
seat-inv,zp7,71,2100
seat-inv,zp7,72,2100
seat-inv,zp7,73,2100
seat-inv,zp7,74,2100
zp7,zp8,61,2000
zp7,zp8,62,2000
zp7,zp8,63,2000
zp7,zp8,64,2000
zp7,zp8,65,2000
zp7,zp8,66,2000
zp7,zp8,67,2000
zp7,zp8,68,2000
zp7,zp8,69,2000
zp7,zp8,70,2000
zp7,zp8,71,2000
zp7,zp8,72,2000
zp7,zp8,73,2000
zp7,zp8,74,2000
gear-prod,gear-inv,61,2100
gear-prod,gear-inv,62,2100
gear-prod,gear-inv,63,2100
gear-prod,gear-inv,64,2100
gear-prod,gear-inv,65,2100
gear-prod,gear-inv,66,2100
gear-prod,gear-inv,67,2100
gear-prod,gear-inv,68,2100
gear-prod,gear-inv,69,2100
gear-prod,gear-inv,70,2100
gear-prod,gear-inv,71,2100
gear-prod,gear-inv,72,2100
gear-prod,gear-inv,73,2100
gear-prod,gear-inv,74,2100
engine-prod,engine-inv,61,2100
engine-prod,engine-inv,62,2100
engine-prod,engine-inv,63,2100
engine-prod,engine-inv,64,2100
engine-prod,engine-inv,65,2100
engine-prod,engine-inv,66,2100
engine-prod,engine-inv,67,2100
engine-prod,engine-inv,68,2100
engine-prod,engine-inv,69,2100
engine-prod,engine-inv,70,2100
engine-prod,engine-inv,71,2100
engine-prod,engine-inv,72,2100
engine-prod,engine-inv,73,2100
engine-prod,engine-inv,74,2100
battery-prod,battery-inv,61,294
battery-prod,battery-inv,62,294
battery-prod,battery-inv,63,294
battery-prod,battery-inv,64,294
battery-prod,battery-inv,65,294
battery-prod,battery-inv,66,294
battery-prod,battery-inv,67,294
battery-prod,battery-inv,68,294
battery-prod,battery-inv,69,294
battery-prod,battery-inv,70,294
battery-prod,battery-inv,71,294
battery-prod,battery-inv,72,294
battery-prod,battery-inv,73,294
battery-prod,battery-inv,74,294
seat-prod,seat-inv,61,2100
seat-prod,seat-inv,62,2100
seat-prod,seat-inv,63,2100
seat-prod,seat-inv,64,2100
seat-prod,seat-inv,65,2100
seat-prod,seat-inv,66,2100
seat-prod,seat-inv,67,2100
seat-prod,seat-inv,68,2100
seat-prod,seat-inv,69,2100
seat-prod,seat-inv,70,2100
seat-prod,seat-inv,71,2100
seat-prod,seat-inv,72,2100
seat-prod,seat-inv,73,2100
seat-prod,seat-inv,74,2100
battery-trans,battery-prod,61,0
battery-trans,battery-prod,62,0
battery-trans,battery-prod,63,0
battery-trans,battery-prod,64,0
battery-trans,battery-prod,65,0
battery-trans,battery-prod,66,0
battery-trans,battery-prod,67,2058
battery-trans,battery-prod,68,0
battery-trans,battery-prod,69,0
battery-trans,battery-prod,70,0
battery-trans,battery-prod,71,0
battery-trans,battery-prod,72,0
battery-trans,battery-prod,73,0
battery-trans,battery-prod,74,2058
seat-trans,seat-prod,61,0
seat-trans,seat-prod,62,0
seat-trans,seat-prod,63,0
seat-trans,seat-prod,64,0
seat-trans,seat-prod,65,0
seat-trans,seat-prod,66,0
seat-trans,seat-prod,67,14700
seat-trans,seat-prod,68,0
seat-trans,seat-prod,69,0
seat-trans,seat-prod,70,0
seat-trans,seat-prod,71,0
seat-trans,seat-prod,72,0
seat-trans,seat-prod,73,0
seat-trans,seat-prod,74,14700
