starting_node_i,ending_node_j,product_p,period_t,initial_flow
battery-inv,zp7,BEV,60,200
engine-inv,zp7,D02,60,44
engine-inv,zp7,D2I,60,37
engine-inv,zp7,D33,60,150
engine-inv,zp7,D36,60,3
engine-inv,zp7,D60,60,20
engine-inv,zp7,D64,60,93
engine-inv,zp7,D80,60,64
engine-inv,zp7,D83,60,159
engine-inv,zp7,DB0,60,6
engine-inv,zp7,DB8,60,15
engine-inv,zp7,DE2,60,6
engine-inv,zp7,DE4,60,32
engine-inv,zp7,DE5,60,61
engine-inv,zp7,DF4,60,4
engine-inv,zp7,DF6,60,5
engine-inv,zp7,DG6,60,279
engine-inv,zp7,DG8,60,167
engine-inv,zp7,DK7,60,49
engine-inv,zp7,DK8,60,202
engine-inv,zp7,DK9,60,7
engine-inv,zp7,DM4,60,14
engine-inv,zp7,DN1,60,11
engine-inv,zp7,DN4,60,287
engine-inv,zp7,DN6,60,15
engine-inv,zp7,DP2,60,46
engine-inv,zp7,DQ4,60,33
engine-inv,zp7,DQ9,60,99
engine-inv,zp7,DR8,60,22
engine-inv,zp7,DS9,60,70
gear-inv,zp7,G0C,59,85
gear-inv,zp7,G0C,60,100
gear-inv,zp7,G0K,59,573
gear-inv,zp7,G0K,60,661
gear-inv,zp7,G0L,59,39
gear-inv,zp7,G0L,60,35
gear-inv,zp7,G0R,59,18
gear-inv,zp7,G0R,60,28
gear-inv,zp7,G1A,59,245
gear-inv,zp7,G1A,60,264
gear-inv,zp7,G1C,59,452
gear-inv,zp7,G1C,60,457
gear-inv,zp7,G1D,59,295
gear-inv,zp7,G1D,60,296
gear-inv,zp7,G1Z,59,293
gear-inv,zp7,G1Z,60,159
battery-trans,battery-prod,component-battery1,46,9470
battery-trans,battery-prod,component-battery1,53,4220
battery-trans,battery-prod,component-battery1,60,4240
battery-trans,battery-prod,component-battery2,46,5682
battery-trans,battery-prod,component-battery2,53,2532
battery-trans,battery-prod,component-battery2,60,2544
battery-trans,battery-prod,component-battery3,46,3788
battery-trans,battery-prod,component-battery3,53,1688
battery-trans,battery-prod,component-battery3,60,1696
seat-trans,seat-prod,component-seat1,39,4732
seat-trans,seat-prod,component-seat1,46,5269
seat-trans,seat-prod,component-seat1,53,5563
seat-trans,seat-prod,component-seat1,60,5515
seat-trans,seat-prod,component-seat2,39,6187
seat-trans,seat-prod,component-seat2,46,5582
seat-trans,seat-prod,component-seat2,53,5199
seat-trans,seat-prod,component-seat2,60,5253
seat-trans,seat-prod,component-seat3,39,1900
seat-trans,seat-prod,component-seat3,46,1923
seat-trans,seat-prod,component-seat3,53,1924
seat-trans,seat-prod,component-seat3,60,1917
seat-trans,seat-prod,component-seat4,39,1181
seat-trans,seat-prod,component-seat4,46,1226
seat-trans,seat-prod,component-seat4,53,1314
seat-trans,seat-prod,component-seat4,60,1315
battery-prod,battery-inv,BEV,60,159
engine-prod,engine-inv,D02,60,30
engine-prod,engine-inv,D2I,60,49
engine-prod,engine-inv,D33,60,112
engine-prod,engine-inv,D36,60,2
engine-prod,engine-inv,D60,60,12
engine-prod,engine-inv,D64,60,135
engine-prod,engine-inv,D80,60,80
engine-prod,engine-inv,D83,60,384
engine-prod,engine-inv,DB0,60,10
engine-prod,engine-inv,DB8,60,11
engine-prod,engine-inv,DE2,60,3
engine-prod,engine-inv,DE4,60,41
engine-prod,engine-inv,DE5,60,50
engine-prod,engine-inv,DF4,60,3
engine-prod,engine-inv,DF6,60,2
engine-prod,engine-inv,DG6,60,233
engine-prod,engine-inv,DG8,60,117
engine-prod,engine-inv,DK7,60,79
engine-prod,engine-inv,DK8,60,183
engine-prod,engine-inv,DK9,60,11
engine-prod,engine-inv,DM4,60,9
engine-prod,engine-inv,DN1,60,2
engine-prod,engine-inv,DN4,60,223
engine-prod,engine-inv,DN6,60,10
engine-prod,engine-inv,DP2,60,29
engine-prod,engine-inv,DQ4,60,24
engine-prod,engine-inv,DQ9,60,88
engine-prod,engine-inv,DR8,60,18
engine-prod,engine-inv,DS9,60,50
gear-prod,gear-inv,G0C,59,82
gear-prod,gear-inv,G0C,60,94
gear-prod,gear-inv,G0K,59,688
gear-prod,gear-inv,G0K,60,540
gear-prod,gear-inv,G0L,59,51
gear-prod,gear-inv,G0L,60,29
gear-prod,gear-inv,G0R,59,26
gear-prod,gear-inv,G0R,60,15
gear-prod,gear-inv,G1A,59,259
gear-prod,gear-inv,G1A,60,234
gear-prod,gear-inv,G1C,59,515
gear-prod,gear-inv,G1C,60,430
gear-prod,gear-inv,G1D,59,315
gear-prod,gear-inv,G1D,60,274
gear-prod,gear-inv,G1Z,59,64
gear-prod,gear-inv,G1Z,60,384
