starting_node_i,ending_node_j,group_g,period_t,planned_flow
engine-prod,engine-inv,engine,61,2000
engine-prod,engine-inv,engine,62,2000
engine-prod,engine-inv,engine,63,2000
engine-prod,engine-inv,engine,64,2000
engine-prod,engine-inv,engine,65,2000
engine-prod,engine-inv,engine,66,2000
engine-prod,engine-inv,engine,67,2000
engine-prod,engine-inv,engine,68,2000
engine-prod,engine-inv,engine,69,2000
engine-prod,engine-inv,engine,70,2000
gear-prod,gear-inv,gear,61,2000
gear-prod,gear-inv,gear,62,2000
gear-prod,gear-inv,gear,63,2000
gear-prod,gear-inv,gear,64,2000
gear-prod,gear-inv,gear,65,2000
gear-prod,gear-inv,gear,66,2000
gear-prod,gear-inv,gear,67,2000
gear-prod,gear-inv,gear,68,2000
gear-prod,gear-inv,gear,69,2000
gear-prod,gear-inv,gear,70,2000
