starting_node_i,ending_node_j,product_p,period_t,planned_flow
engine-prod,engine-inv,DN4,61,278
engine-prod,engine-inv,DG6,61,299
engine-prod,engine-inv,DK8,61,260
engine-prod,engine-inv,DG8,61,161
engine-prod,engine-inv,D33,61,168
engine-prod,engine-inv,DQ9,61,118
engine-prod,engine-inv,D64,61,94
engine-prod,engine-inv,DS9,61,90
engine-prod,engine-inv,DE5,61,66
engine-prod,engine-inv,D83,61,52
engine-prod,engine-inv,D80,61,65
engine-prod,engine-inv,D02,61,43
engine-prod,engine-inv,DP2,61,42
engine-prod,engine-inv,DK7,61,38
engine-prod,engine-inv,DQ4,61,39
engine-prod,engine-inv,D2I,61,32
engine-prod,engine-inv,DR8,61,29
engine-prod,engine-inv,DE4,61,16
engine-prod,engine-inv,D60,61,25
engine-prod,engine-inv,DB8,61,11
engine-prod,engine-inv,DK9,61,12
engine-prod,engine-inv,DM4,61,15
engine-prod,engine-inv,DN6,61,12
engine-prod,engine-inv,DB0,61,11
engine-prod,engine-inv,DF6,61,5
engine-prod,engine-inv,DN1,61,5
engine-prod,engine-inv,DF4,61,7
engine-prod,engine-inv,DE2,61,4
engine-prod,engine-inv,D36,61,3
gear-prod,gear-inv,G0K,61,661
gear-prod,gear-inv,G1C,61,535
gear-prod,gear-inv,G1D,61,309
gear-prod,gear-inv,G1A,61,268
gear-prod,gear-inv,G0C,61,112
gear-prod,gear-inv,G1Z,61,52
gear-prod,gear-inv,G0L,61,37
gear-prod,gear-inv,G0R,61,26
engine-prod,engine-inv,DN4,62,253
engine-prod,engine-inv,DG6,62,237
engine-prod,engine-inv,DK8,62,181
engine-prod,engine-inv,DG8,62,144
engine-prod,engine-inv,D33,62,136
engine-prod,engine-inv,DQ9,62,91
engine-prod,engine-inv,D64,62,129
engine-prod,engine-inv,DS9,62,59
engine-prod,engine-inv,DE5,62,51
engine-prod,engine-inv,D83,62,293
engine-prod,engine-inv,D80,62,83
engine-prod,engine-inv,D02,62,33
engine-prod,engine-inv,DP2,62,40
engine-prod,engine-inv,DK7,62,77
engine-prod,engine-inv,DQ4,62,13
engine-prod,engine-inv,D2I,62,41
engine-prod,engine-inv,DR8,62,30
engine-prod,engine-inv,DE4,62,39
engine-prod,engine-inv,D60,62,10
engine-prod,engine-inv,DB8,62,13
engine-prod,engine-inv,DK9,62,17
engine-prod,engine-inv,DM4,62,4
engine-prod,engine-inv,DN6,62,7
engine-prod,engine-inv,DB0,62,8
engine-prod,engine-inv,DF6,62,8
engine-prod,engine-inv,DN1,62,1
engine-prod,engine-inv,DF4,62,1
engine-prod,engine-inv,DE2,62,1
gear-prod,gear-inv,G0K,62,573
gear-prod,gear-inv,G1C,62,452
gear-prod,gear-inv,G1D,62,295
gear-prod,gear-inv,G1A,62,245
gear-prod,gear-inv,G0C,62,85
gear-prod,gear-inv,G1Z,62,293
gear-prod,gear-inv,G0L,62,39
gear-prod,gear-inv,G0R,62,18
engine-prod,engine-inv,DN4,63,287
engine-prod,engine-inv,DG6,63,279
engine-prod,engine-inv,DK8,63,202
engine-prod,engine-inv,DG8,63,167
engine-prod,engine-inv,D33,63,150
engine-prod,engine-inv,DQ9,63,99
engine-prod,engine-inv,D64,63,93
engine-prod,engine-inv,DS9,63,70
engine-prod,engine-inv,DE5,63,61
engine-prod,engine-inv,D83,63,159
engine-prod,engine-inv,D80,63,64
engine-prod,engine-inv,D02,63,44
engine-prod,engine-inv,DP2,63,46
engine-prod,engine-inv,DK7,63,49
engine-prod,engine-inv,DQ4,63,33
engine-prod,engine-inv,D2I,63,37
engine-prod,engine-inv,DR8,63,22
engine-prod,engine-inv,DE4,63,32
engine-prod,engine-inv,D60,63,20
engine-prod,engine-inv,DB8,63,15
engine-prod,engine-inv,DK9,63,7
engine-prod,engine-inv,DM4,63,14
engine-prod,engine-inv,DN6,63,15
engine-prod,engine-inv,DB0,63,6
engine-prod,engine-inv,DF6,63,5
engine-prod,engine-inv,DN1,63,11
engine-prod,engine-inv,DF4,63,4
engine-prod,engine-inv,DE2,63,6
engine-prod,engine-inv,D36,63,3
gear-prod,gear-inv,G0K,63,661
gear-prod,gear-inv,G1C,63,457
gear-prod,gear-inv,G1D,63,296
gear-prod,gear-inv,G1A,63,264
gear-prod,gear-inv,G0C,63,100
gear-prod,gear-inv,G1Z,63,159
gear-prod,gear-inv,G0L,63,35
gear-prod,gear-inv,G0R,63,28
engine-prod,engine-inv,DN4,64,158
engine-prod,engine-inv,DG6,64,142
engine-prod,engine-inv,DK8,64,125
engine-prod,engine-inv,DG8,64,96
engine-prod,engine-inv,D33,64,63
engine-prod,engine-inv,DQ9,64,46
engine-prod,engine-inv,D64,64,180
engine-prod,engine-inv,DS9,64,28
engine-prod,engine-inv,DE5,64,36
engine-prod,engine-inv,D83,64,709
engine-prod,engine-inv,D80,64,99
engine-prod,engine-inv,D02,64,15
engine-prod,engine-inv,DP2,64,12
engine-prod,engine-inv,DK7,64,112
engine-prod,engine-inv,DQ4,64,3
engine-prod,engine-inv,D2I,64,68
engine-prod,engine-inv,DR8,64,11
engine-prod,engine-inv,DE4,64,66
engine-prod,engine-inv,D60,64,2
engine-prod,engine-inv,DB8,64,8
engine-prod,engine-inv,DK9,64,6
engine-prod,engine-inv,DM4,64,2
engine-prod,engine-inv,DN6,64,8
engine-prod,engine-inv,DB0,64,3
engine-prod,engine-inv,DE2,64,2
gear-prod,gear-inv,G0K,64,420
gear-prod,gear-inv,G1C,64,339
gear-prod,gear-inv,G1D,64,250
gear-prod,gear-inv,G1A,64,166
gear-prod,gear-inv,G0C,64,86
gear-prod,gear-inv,G1Z,64,709
gear-prod,gear-inv,G0L,64,24
gear-prod,gear-inv,G0R,64,6
engine-prod,engine-inv,DN4,65,284
engine-prod,engine-inv,DG6,65,316
engine-prod,engine-inv,DK8,65,234
engine-prod,engine-inv,DG8,65,172
engine-prod,engine-inv,D33,65,135
engine-prod,engine-inv,DQ9,65,128
engine-prod,engine-inv,D64,65,82
engine-prod,engine-inv,DS9,65,67
engine-prod,engine-inv,DE5,65,57
engine-prod,engine-inv,D83,65,76
engine-prod,engine-inv,D80,65,51
engine-prod,engine-inv,D02,65,57
engine-prod,engine-inv,DP2,65,45
engine-prod,engine-inv,DK7,65,58
engine-prod,engine-inv,DQ4,65,28
engine-prod,engine-inv,D2I,65,35
engine-prod,engine-inv,DR8,65,30
engine-prod,engine-inv,DE4,65,31
engine-prod,engine-inv,D60,65,22
engine-prod,engine-inv,DB8,65,20
engine-prod,engine-inv,DK9,65,17
engine-prod,engine-inv,DM4,65,12
engine-prod,engine-inv,DN6,65,11
engine-prod,engine-inv,DB0,65,9
engine-prod,engine-inv,DF6,65,7
engine-prod,engine-inv,DN1,65,7
engine-prod,engine-inv,DF4,65,6
engine-prod,engine-inv,DE2,65,2
engine-prod,engine-inv,D36,65,1
gear-prod,gear-inv,G0K,65,670
gear-prod,gear-inv,G1C,65,525
gear-prod,gear-inv,G1D,65,313
gear-prod,gear-inv,G1A,65,237
gear-prod,gear-inv,G0C,65,106
gear-prod,gear-inv,G1Z,65,76
gear-prod,gear-inv,G0L,65,40
gear-prod,gear-inv,G0R,65,33
engine-prod,engine-inv,DN4,66,316
engine-prod,engine-inv,DG6,66,296
engine-prod,engine-inv,DK8,66,218
engine-prod,engine-inv,DG8,66,170
engine-prod,engine-inv,D33,66,178
engine-prod,engine-inv,DQ9,66,112
engine-prod,engine-inv,D64,66,80
engine-prod,engine-inv,DS9,66,95
engine-prod,engine-inv,DE5,66,82
engine-prod,engine-inv,D83,66,64
engine-prod,engine-inv,D80,66,56
engine-prod,engine-inv,D02,66,48
engine-prod,engine-inv,DP2,66,45
engine-prod,engine-inv,DK7,66,40
engine-prod,engine-inv,DQ4,66,29
engine-prod,engine-inv,D2I,66,20
engine-prod,engine-inv,DR8,66,23
engine-prod,engine-inv,DE4,66,24
engine-prod,engine-inv,D60,66,28
engine-prod,engine-inv,DB8,66,11
engine-prod,engine-inv,DK9,66,10
engine-prod,engine-inv,DM4,66,10
engine-prod,engine-inv,DN6,66,12
engine-prod,engine-inv,DB0,66,9
engine-prod,engine-inv,DF6,66,3
engine-prod,engine-inv,DN1,66,8
engine-prod,engine-inv,DF4,66,3
engine-prod,engine-inv,DE2,66,5
engine-prod,engine-inv,D36,66,5
gear-prod,gear-inv,G0K,66,688
gear-prod,gear-inv,G1C,66,515
gear-prod,gear-inv,G1D,66,315
gear-prod,gear-inv,G1A,66,259
gear-prod,gear-inv,G0C,66,82
gear-prod,gear-inv,G1Z,66,64
gear-prod,gear-inv,G0L,66,51
gear-prod,gear-inv,G0R,66,26
engine-prod,engine-inv,DN4,67,223
engine-prod,engine-inv,DG6,67,233
engine-prod,engine-inv,DK8,67,183
engine-prod,engine-inv,DG8,67,117
engine-prod,engine-inv,D33,67,112
engine-prod,engine-inv,DQ9,67,88
engine-prod,engine-inv,D64,67,135
engine-prod,engine-inv,DS9,67,50
engine-prod,engine-inv,DE5,67,50
engine-prod,engine-inv,D83,67,384
engine-prod,engine-inv,D80,67,80
engine-prod,engine-inv,D02,67,30
engine-prod,engine-inv,DP2,67,29
engine-prod,engine-inv,DK7,67,79
engine-prod,engine-inv,DQ4,67,24
engine-prod,engine-inv,D2I,67,49
engine-prod,engine-inv,DR8,67,18
engine-prod,engine-inv,DE4,67,41
engine-prod,engine-inv,D60,67,12
engine-prod,engine-inv,DB8,67,11
engine-prod,engine-inv,DK9,67,11
engine-prod,engine-inv,DM4,67,9
engine-prod,engine-inv,DN6,67,10
engine-prod,engine-inv,DB0,67,10
engine-prod,engine-inv,DF6,67,2
engine-prod,engine-inv,DN1,67,2
engine-prod,engine-inv,DF4,67,3
engine-prod,engine-inv,DE2,67,3
engine-prod,engine-inv,D36,67,2
gear-prod,gear-inv,G0K,67,540
gear-prod,gear-inv,G1C,67,430
gear-prod,gear-inv,G1D,67,274
gear-prod,gear-inv,G1A,67,234
gear-prod,gear-inv,G0C,67,94
gear-prod,gear-inv,G1Z,67,384
gear-prod,gear-inv,G0L,67,29
gear-prod,gear-inv,G0R,67,15
engine-prod,engine-inv,DN4,68,283
engine-prod,engine-inv,DG6,68,291
engine-prod,engine-inv,DK8,68,217
engine-prod,engine-inv,DG8,68,173
engine-prod,engine-inv,D33,68,178
engine-prod,engine-inv,DQ9,68,111
engine-prod,engine-inv,D64,68,96
engine-prod,engine-inv,DS9,68,80
engine-prod,engine-inv,DE5,68,69
engine-prod,engine-inv,D83,68,59
engine-prod,engine-inv,D80,68,74
engine-prod,engine-inv,D02,68,53
engine-prod,engine-inv,DP2,68,59
engine-prod,engine-inv,DK7,68,48
engine-prod,engine-inv,DQ4,68,22
engine-prod,engine-inv,D2I,68,27
engine-prod,engine-inv,DR8,68,40
engine-prod,engine-inv,DE4,68,25
engine-prod,engine-inv,D60,68,19
engine-prod,engine-inv,DB8,68,11
engine-prod,engine-inv,DK9,68,21
engine-prod,engine-inv,DM4,68,8
engine-prod,engine-inv,DN6,68,8
engine-prod,engine-inv,DB0,68,10
engine-prod,engine-inv,DF6,68,10
engine-prod,engine-inv,DN1,68,1
engine-prod,engine-inv,DF4,68,2
engine-prod,engine-inv,DE2,68,2
engine-prod,engine-inv,D36,68,3
gear-prod,gear-inv,G0K,68,660
gear-prod,gear-inv,G1C,68,513
gear-prod,gear-inv,G1D,68,331
gear-prod,gear-inv,G1A,68,279
gear-prod,gear-inv,G0C,68,84
gear-prod,gear-inv,G1Z,68,59
gear-prod,gear-inv,G0L,68,48
gear-prod,gear-inv,G0R,68,26
engine-prod,engine-inv,DN4,69,292
engine-prod,engine-inv,DG6,69,245
engine-prod,engine-inv,DK8,69,175
engine-prod,engine-inv,DG8,69,144
engine-prod,engine-inv,D33,69,122
engine-prod,engine-inv,DQ9,69,91
engine-prod,engine-inv,D64,69,113
