node_n,product_p
engine-prod,DN4
engine-prod,DG6
engine-prod,DK8
engine-prod,DG8
engine-prod,D33
engine-prod,DQ9
engine-prod,D64
engine-prod,DS9
engine-prod,DE5
engine-prod,D83
engine-prod,D80
engine-prod,D02
engine-prod,DP2
engine-prod,DK7
engine-prod,DQ4
engine-prod,D2I
engine-prod,DR8
engine-prod,DE4
engine-prod,D60
engine-prod,DB8
engine-prod,DK9
engine-prod,DM4
engine-prod,DN6
engine-prod,DB0
engine-prod,DF6
engine-prod,DN1
engine-prod,DF4
engine-prod,DE2
engine-prod,D36
gear-prod,G0K
gear-prod,G1C
gear-prod,G1D
gear-prod,G1A
gear-prod,G0C
gear-prod,G1Z
gear-prod,G0L
gear-prod,G0R
seat-trans,component-seat1
seat-trans,component-seat2
seat-trans,component-seat3
seat-trans,component-seat4
battery-trans,component-battery1
battery-trans,component-battery2
battery-trans,component-battery3
