product_p,group_g,transportation_size_s
64001,car,0
64002,car,0
64003,car,0
64004,car,0
64005,car,0
64006,car,0
64007,car,0
64008,car,0
64009,car,0
64010,car,0
64011,car,0
64012,car,0
64013,car,0
64014,car,0
64015,car,0
64016,car,0
64017,car,0
64018,car,0
64019,car,0
64020,car,0
64021,car,0
64022,car,0
64023,car,0
64024,car,0
64025,car,0
64026,car,0
64027,car,0
64028,car,0
64029,car,0
64030,car,0
64031,car,0
64032,car,0
64033,car,0
64034,car,0
64035,car,0
64036,car,0
64037,car,0
64038,car,0
64039,car,0
64040,car,0
64041,car,0
64042,car,0
64043,car,0
64044,car,0
64045,car,0
64046,car,0
64047,car,0
64048,car,0
64049,car,0
64050,car,0
64051,car,0
64052,car,0
64053,car,0
64054,car,0
64055,car,0
64056,car,0
64057,car,0
64058,car,0
64059,car,0
64060,car,0
64061,car,0
64062,car,0
64063,car,0
64064,car,0
64065,car,0
64066,car,0
64067,car,0
64068,car,0
64069,car,0
64070,car,0
64071,car,0
64072,car,0
64073,car,0
64074,car,0
64075,car,0
64076,car,0
64077,car,0
64078,car,0
64079,car,0
64080,car,0
64081,car,0
64082,car,0
64083,car,0
64084,car,0
64085,car,0
64086,car,0
64087,car,0
64088,car,0
64089,car,0
64090,car,0
64091,car,0
64092,car,0
64093,car,0
64094,car,0
64095,car,0
64096,car,0
64097,car,0
64098,car,0
64099,car,0
64100,car,0
64101,car,0
64102,car,0
64103,car,0
64104,car,0
64105,car,0
64106,car,0
64107,car,0
64108,car,0
64109,car,0
64110,car,0
64111,car,0
64112,car,0
64113,car,0
64114,car,0
64115,car,0
64116,car,0
64117,car,0
64118,car,0
64119,car,0
64120,car,0
64121,car,0
64122,car,0
64123,car,0
64124,car,0
64125,car,0
64126,car,0
64127,car,0
64128,car,0
64129,car,0
64130,car,0
64131,car,0
64132,car,0
64133,car,0
64134,car,0
64135,car,0
64136,car,0
64137,car,0
64138,car,0
64139,car,0
64140,car,0
64141,car,0
64142,car,0
64143,car,0
64144,car,0
64145,car,0
64146,car,0
64147,car,0
64148,car,0
64149,car,0
64150,car,0
64151,car,0
64152,car,0
64153,car,0
64154,car,0
64155,car,0
64156,car,0
64157,car,0
64158,car,0
64159,car,0
64160,car,0
64161,car,0
64162,car,0
64163,car,0
64164,car,0
64165,car,0
64166,car,0
64167,car,0
64168,car,0
64169,car,0
64170,car,0
64171,car,0
64172,car,0
64173,car,0
64174,car,0
64175,car,0
64176,car,0
64177,car,0
64178,car,0
64179,car,0
64180,car,0
64181,car,0
64182,car,0
64183,car,0
64184,car,0
64185,car,0
64186,car,0
64187,car,0
64188,car,0
64189,car,0
64190,car,0
64191,car,0
64192,car,0
64193,car,0
64194,car,0
64195,car,0
64196,car,0
64197,car,0
64198,car,0
64199,car,0
64200,car,0
64201,car,0
64202,car,0
64203,car,0
64204,car,0
64205,car,0
64206,car,0
64207,car,0
64208,car,0
64209,car,0
64210,car,0
64211,car,0
64212,car,0
64213,car,0
64214,car,0
64215,car,0
64216,car,0
64217,car,0
64218,car,0
64219,car,0
64220,car,0
64221,car,0
64222,car,0
64223,car,0
64224,car,0
64225,car,0
64226,car,0
64227,car,0
64228,car,0
64229,car,0
64230,car,0
64231,car,0
64232,car,0
64233,car,0
64234,car,0
64235,car,0
64236,car,0
64237,car,0
64238,car,0
64239,car,0
64240,car,0
64241,car,0
64242,car,0
64243,car,0
64244,car,0
64245,car,0
64246,car,0
64247,car,0
64248,car,0
64249,car,0
64250,car,0
64251,car,0
64252,car,0
64253,car,0
64254,car,0
64255,car,0
64256,car,0
64257,car,0
64258,car,0
64259,car,0
64260,car,0
64261,car,0
64262,car,0
64263,car,0
64264,car,0
64265,car,0
64266,car,0
64267,car,0
64268,car,0
64269,car,0
64270,car,0
64271,car,0
64272,car,0
64273,car,0
64274,car,0
64275,car,0
64276,car,0
64277,car,0
64278,car,0
64279,car,0
64280,car,0
64281,car,0
64282,car,0
